name,sackmann_name,rank,recent_grass_success,peak_wimb_success,two_month_success,peak_ranking,gs_champion,ytd_win_rate,serve_quality
"DUCKWORTH, James",James Duckworth,78,0.3333333333333333,0.6666666666666666,0.4,49.0,0,0.21428571428571427,0.6340066704423888
"NAVONE, Mariano",Mariano Navone,38,0.5,0.5,0.7,29.0,0,0.5517241379310345,0.593552036199095
"COBOLLI, Flavio",Flavio Cobolli,10,0.6,0.8,0.6363636363636364,10.0,0,0.631578947368421,0.6269130015166138
"MENSIK, Jakub",Jakub Mensik,17,0.5,0.6666666666666666,0.6,12.0,0,0.6571428571428571,0.6517259144770736
"SAMUEL, Toby",Toby Samuel,142,0.0,0.6666666666666666,0.0,144.0,0,0.0,0.5098039215686274
"SWEENY, Dane",Dane Sweeny,126,0.5,0.6666666666666666,0.4444444444444444,182.0,0,0.3333333333333333,0.6088235294117647
"DIMITROV, Grigor",Grigor Dimitrov,164,0.75,0.75,0.4444444444444444,3.0,0,0.2,0.6623626558059391
"WAWRINKA, Stan",Stan Wawrinka,110,0.5,0.8,0.3333333333333333,3.0,1,0.3684210526315789,0.6624685138539043
"BERRETTINI, Matteo",Matteo Berrettini,49,0.0,0.8571428571428571,0.6666666666666666,6.0,0,0.5454545454545454,0.6894879894218762
"COLLIGNON, Raphael",Raphael Collignon,43,0.5,0.0,0.625,51.0,0,0.6111111111111112,0.641874084919473
"FILS, Arthur",Arthur Fils,23,0.5,0.75,0.0,14.0,0,0.7586206896551724,0.65341973766396
"HUMBERT, Ugo",Ugo Humbert,30,0.5714285714285714,0.75,0.6153846153846154,13.0,0,0.5555555555555556,0.6570492768557024
"BERGS, Zizou",Zizou Bergs,48,0.4,0.0,0.0,39.0,0,0.391304347826087,0.638031068688003
"SHIMABUKURO, Sho",Sho Shimabukuro,89,0.6,0.0,0.6,97.0,0,0.4,0.6470175438596492
"FARIA, Jaime",Jaime Faria,97,0.0,0.0,0.6666666666666666,87.0,0,0.5555555555555556,0.6303724928366762
"DZUMHUR, Damir",Damir Dzumhur,104,0.0,0.5,0.3333333333333333,23.0,0,0.35,0.5941691200523389
"FERY, Arthur",Arthur Fery,118,0.6,0.5,0.6666666666666666,140.0,0,0.5,0.613614573346117
